"position","team","matches","wins","draws","losses","goals","points","pointsPercent"
"1","Зенит","18","11","6","1","34-12","39","72.2"
"2","Краснодар","17","11","4","2","34-10","37","72.5"
"3","ЦСКА","17","11","3","3","28-14","36","70.6"
"4","Локомотив М","17","9","7","1","35-21","34","66.7"
"5","Балтика","17","8","8","1","22-7","32","62.7"
"6","Спартак М","18","8","5","5","26-23","29","53.7"
"7","Рубин","18","6","5","7","16-22","23","42.6"
"8","Ахмат","18","6","4","8","22-25","22","40.7"
"9","Акрон","18","5","6","7","22-26","21","38.9"
"10","Динамо М","18","5","6","7","27-26","21","38.9"
"11","Ростов","18","5","6","7","15-20","21","38.9"
"12","Крылья Советов","17","4","5","8","20-31","17","33.3"
